area_km2
652230
27400
2381740
200
470
1246700
440
2736690
28199.44
180
7692020
82520
82650
10010
800
129980
430
202983
30494
22810
112760
54
38140
1083300
51200
566730
8358140
150
5270
108560
273600
25680
4030
176520
472710
8788700
240
622980
1259200
742831.64
9388210
1109500
1861
2267050
341500
51060
318000
55960
103800
444
9240
77167.31
40000
23180
750
48198.02
248360
995450
20720
28050
121178.2
42730
17200
1128498.8
1370
18270
303960
538950
3471
257670
10120
69490
349430
227533
10
128900
410450
340
540
107160
245720
28120
211140
27560
111890
1050
91260
100830
2973190
1892555.47
1622500
434130
68890
570
21640
295720
10830
364569.27
88794
2699700
580876.3
810
120410
97600
17820
191800
230800
62230
10230
30360
96320
1759540
160
62600
2574.46
33
581800
94280
328550
298
1220190
320
180
1030700
1997
1943950
700
32930
2.084
1558499.786
13450
446300
786380
652670
823290
20
143350
33670
18280
263310
120340
1266700
910770
25220
460
364270
309500
770880
460
74180
452860
396012.03
1280000
298170
306270
91605.6
8870
11490
230080
16376870
24670
2780
60
960
2149690
192530
84090
460
72180
718
34
48080
20134.5
27990
627340
1213090
631930
499697.4
61860
260
610
50
390
1868000
160507.61
407270
39509.63
183630
138790
885800
510890
14870
54390
720
5130
155360
769630
469930
950
30
200520
579400
71020
241930
9147420
175020
440650
12190
882050
313429
350
6025
527970
743390
386850
