height_m
5040
3283
5364
2049.3
2529
2524
2534
2525
5173
1603
2243
2496
2491
2482
2505
2501
2516
4095
2942
963
5137
2884
2065
1230
2375
1232
2730
2476
2461
2447
2463
2562
5407
2473
1397
2917.727
2654.4
2655
1763.3
8586
3704
2291
1745
2456
2395
2441
2436
2422
2432
1339
1344.527
8027
2455
2744
4242.59
2338
2364
749
914
2335
2343
2376
2351
2343
6052
656.2
2910
6094
582.6
4282
1569
5959
3061
2369
2883
2673
1978
1894
3143
3147.3
1225
2335
699
3123
2574
2500
2201
3916
2886
8848.86
1281
4805.59
2864
3841
4061
3969
4477.54
1486
2462
582
1508
2962.06
3798
4634
979
1447
1216
1354
1344
1369
3967
2549
2810
3724
2784
1257
626
2558
5230
6263.47
5758
4546
4532
4505
4357
4309
4274
4221
4206
4048
3630
3612
3402.2
3247
3238
3216
2900
2801
2501
2389
2349
1607
1445
1302
1291.3
1168
1169
996
963
522
2965
3250
866
694
2915
3279
3071.7
2128
2128.5
3056
1701
853
1962
3244
3934
1797
4194
3697
3328
3553
2874
914.6
1408
3158
2190
1331
2533
3661
1950.5
2971.8
4158
722
3272
869
4110
3503
2806
675.3
3069
1517
2700
3465
3581
6190
5648
1986
2033
835
837
3576
8126
1614
4207.3
678
2152
1399
3099
3151
3100
3102
3677
3680
3674
3187
3403
2211
3271
3658
2232
2236
2215
2249
792
2246
2374
2873
2699
3052
600
2050
2637
4990
4730
5762
2007
2314
2308
2298
2252
2294
783
4082
1639
3000
5200
2492
646.8
5607
561.4
621
4221
6438
1012
1116
2852
634
3260
3152
2592
1122
1221
1028
2303
2484
520
2172
2158
2167
2175.4
2188
2185
2152
2270
2271
1141.2
3294
3338.7
2092
2226
2227.9
1695
2197
2283
4078
4160
3820
2441
912
1305.7
2998
2928
3036
3188
3780
1246.8
2002
3312
1115
2716.5
2133
2968
1898
3187
2404
719
3149
2116.9
3453
3098
1662.8
1830
3261.8
3025
1167
1168
1794
3638
1097
3267
4010
1655
3436
2285
2957
1135
1096
3421
2310
2607
2343
2694
2124
3811
2248.8
2435
3995
1506
3244
2373
2362
2709
2887
3010
2910
552
686
554
1769
1788
1863
5800
5640
1771
2040
1165
3055
2626
1220
4150
570.3
2145
1810
902
906.4
4563
4554
4491
4469
2828
1124
4766
4465
4434
4341
4327
4321
4304
4293
4248
4243
4240
4225
4218
4215
4208
4199
4190
4173
4149
4122
4114
4112
4102
4102
4089
4069
4063
4052
4049
4043
4042
4035
4035
4027
4025
4013
4015
4013
4013
4000
2667
5000
6425
915
915.76
655
943
627
3856
3777.24
6962
2438
5610
3012
2885
948
948.5
858
926
927
779
884
817
901
901.7
7495
1281
5642
1916.6
1907
1907.2
2981
3586
3217
3210
3023
2946
1770
1127.8
811
2351
2385
2676
2768.9
2707.4
3096
3073
3016
3256
2972
1621
3169
3026
3085
8611
1717
1985
1450
2032
2251
6000
3252
683.8
