length_km
50.1
50.1
50.08
50.07
50.5
50.4
50.5
50.4
50.4
50.36
50.44
50.4
50.5
50.5
50.5
50.5
50.5
50.4
50.6
50.6
50.7
50.6
50.6
50.6
50.7
51
51
51
51
51
51
51
51
51
51
50.796
50.8
50.9
50.8
50.9
50.9
50.9
50.8
50.8
50.8
50.83
50.8
50.73
50.8
50.97
50.3
50.17
50.2
50.295
50.3
50.1
50.1
50.3
50.2
50.3
50.3
50.3
50.28
50.1
50.3
50.2
50.2
50.1
51
51
50.2
50.2
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51.2
51.3
51.3
51.1
51.2
51.2
51.2
51.1
51.09
51.1
51.1
51.22641457988648
51.2
51.08
51.1
51.25
51.2
51.2
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
51.8
51.8
51.8
51.8
51.8
51.5
51.5
51.34
51.4
51.5
51.311
51.5
51.3
51.4
51.5
51.5
51.5
51.4
51.5
51.3
51.4
51.4
51.3
51.3
51.5
51.3
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
51.9
52
52
52
52
52
52
52
52
52.8
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
52
51.9
52
52
51.9
51.9
51.9
51.9
52
52
52.1
52.2
52.2
52.2
52.1
52.1
52.2
52.23
52.06
52.5
52.3
52.4
52.343
52.4
52.32
52.3
52.5
52.3
52.3
52.5
52.3
52.43
52.4
52.4
52.3
52.32
52.35
53
52.8
53
53
53
53
53
53
53
53
53
53
53
53
52.87
52.8
52.9
52.8
52.9
52.8
52.9
52.9
52.85
52.8
52.8
52.8
52.9
53
53
53
53
53
52.6
53
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51
51.57
51.7
51.6
51.7
51.6
51.74
51.6
51.6
51.6
51.7
51.6
51.76
52.7
52.6
52.7
